"",Cell_Line,Compound,Doses,IC50
"1",22RV1,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.329701692
"2",42MGBA,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.053038094
"3",5637,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.07082279
"4",639V,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.150094494
"5",697,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.422571242
"6",769P,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.1517988
"7",7860,17AAG,,
"8",8305C,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.375401258
"9",8505C,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.282174945
"10",8MGBA,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.234952629
"11",A172,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.267498583
"12",A204,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.029675882
"13",A2058,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.042496935
"14",A253,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.339544863
"15",A2780,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.031109899
"16",A375,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.169737235
"17",A549,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.06676174
"18",A673,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.198152512
"19",ACHN,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.678260922
"20",ALLSIL,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.714353621
"21",AMO1,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.025441425
"22",AN3CA,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.074334152
"23",ASPC1,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.072310209
"24",AU565,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.0233486
"25",BCPAP,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.210629389
"26",BFTC909,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.104652666
"27",BL41,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.764389515
"28",BL70,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.284389943
"29",BT20,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"30",BT474,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.044726733
"31",BT549,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.020397235
"32",BXPC3,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.187336221
"33",C2BBE1,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.777057707
"34",C32,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.006673547
"35",C3A,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.027727799
"36",CAL12T,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.183841035
"37",CAL27,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.166818783
"38",CAL78,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.099586673
"39",CAL851,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.175339907
"40",CALU3,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",1.688857436
"41",CALU6,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.183477089
"42",CAMA1,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.141045213
"43",CAPAN2,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.046125766
"44",CAS1,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",1.019528747
"45",CCK81,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.263275087
"46",CHL1,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.165819794
"47",CHP212,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.029792815
"48",COLO205,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.014756449
"49",COLO678,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.040361557
"50",COLO679,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.062656693
"51",COLO741,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",1.479850173
"52",CORL105,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.887269139
"53",CORL23,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.608988762
"54",DAOY,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.477916837
"55",DBTRG05MG,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.276005715
"56",DEL,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.035145033
"57",DETROIT562,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.238989621
"58",DKMG,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.319927543
"59",DMS114,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.695213139
"60",DOHH2,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.409685045
"61",DOV13,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.350310981
"62",DU145,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.044969238
