"",DRUG_ID,COSMIC_ID,LN_IC50,MAX_CONC_MICROMOLAR,Cell_Line,Drug_Name,Synonyms
"1",1026,924100,0.71772164,1,22RV1,TANESPIMYCIN,"17-AAG, BMS-722782"
"2",1026,687561,-2.50334478,1,42MGBA,TANESPIMYCIN,"17-AAG, BMS-722782"
"3",1026,687452,-2.82207556,1,5637,TANESPIMYCIN,"17-AAG, BMS-722782"
"4",1026,906798,-1.51323369,1,639V,TANESPIMYCIN,"17-AAG, BMS-722782"
"5",1026,906800,0.22536928,1,697,TANESPIMYCIN,"17-AAG, BMS-722782"
"6",,,,,769P,TANESPIMYCIN,
"7",1026,905947,-2.06292963,1,7860,TANESPIMYCIN,"17-AAG, BMS-722782"
"8",1026,906795,-0.46290859,1,8305C,TANESPIMYCIN,"17-AAG, BMS-722782"
"9",1026,924102,-0.03476752,1,8505C,TANESPIMYCIN,"17-AAG, BMS-722782"
"10",1026,687562,-2.25711081,1,8MGBA,TANESPIMYCIN,"17-AAG, BMS-722782"
"11",1026,687563,-1.49628831,1,A172,TANESPIMYCIN,"17-AAG, BMS-722782"
"12",,,,,A204,TANESPIMYCIN,
"13",,,,,A2058,TANESPIMYCIN,
"14",1026,906794,-1.06368409,1,A253,TANESPIMYCIN,"17-AAG, BMS-722782"
"15",1026,906804,-1.95853089,1,A2780,TANESPIMYCIN,"17-AAG, BMS-722782"
"16",1026,906793,-1.45617343,1,A375,TANESPIMYCIN,"17-AAG, BMS-722782"
"17",1026,905949,-5.40632046,1,A549,TANESPIMYCIN,"17-AAG, BMS-722782"
"18",1026,684052,1.84650154,1,A673,TANESPIMYCIN,"17-AAG, BMS-722782"
"19",,,,,ACHN,TANESPIMYCIN,
"20",1026,1295740,1.86578145,1,ALLSIL,TANESPIMYCIN,"17-AAG, BMS-722782"
"21",1026,1295741,-1.56649507,1,AMO1,TANESPIMYCIN,"17-AAG, BMS-722782"
"22",,,,,AN3CA,TANESPIMYCIN,
"23",1026,910702,-1.52984012,1,ASPC1,TANESPIMYCIN,"17-AAG, BMS-722782"
"24",1026,910704,-2.23974786,1,AU565,TANESPIMYCIN,"17-AAG, BMS-722782"
"25",1026,924104,-1.75596433,1,BCPAP,TANESPIMYCIN,"17-AAG, BMS-722782"
"26",,,,,BFTC909,TANESPIMYCIN,
"27",1026,910706,0.18123331,1,BL41,TANESPIMYCIN,"17-AAG, BMS-722782"
"28",,,,,BL70,TANESPIMYCIN,
"29",1026,906801,-0.86708725,1,BT20,TANESPIMYCIN,"17-AAG, BMS-722782"
"30",1026,946359,-3.32052462,1,BT474,TANESPIMYCIN,"17-AAG, BMS-722782"
"31",1026,905951,-1.85895303,1,BT549,TANESPIMYCIN,"17-AAG, BMS-722782"
"32",1026,906693,-1.83934061,1,BXPC3,TANESPIMYCIN,"17-AAG, BMS-722782"
"33",1026,910700,-1.36705099,1,C2BBE1,TANESPIMYCIN,"17-AAG, BMS-722782"
"34",1026,906830,-5.1091757,1,C32,TANESPIMYCIN,"17-AAG, BMS-722782"
"35",1026,910850,-0.7036436,1,C3A,TANESPIMYCIN,"17-AAG, BMS-722782"
"36",1026,753540,-0.80849098,1,CAL12T,TANESPIMYCIN,"17-AAG, BMS-722782"
"37",1026,910916,-1.50311431,1,CAL27,TANESPIMYCIN,"17-AAG, BMS-722782"
"38",1026,1290765,-0.05816112,1,CAL78,TANESPIMYCIN,"17-AAG, BMS-722782"
"39",1026,910852,2.5068422,1,CAL851,TANESPIMYCIN,"17-AAG, BMS-722782"
"40",1026,687777,1.35710167,1,CALU3,TANESPIMYCIN,"17-AAG, BMS-722782"
"41",1026,724859,1.96746359,1,CALU6,TANESPIMYCIN,"17-AAG, BMS-722782"
"42",,,,,CAMA1,TANESPIMYCIN,
"43",1026,910915,-1.57726282,1,CAPAN2,TANESPIMYCIN,"17-AAG, BMS-722782"
"44",1026,910943,0.72901367,1,CAS1,TANESPIMYCIN,"17-AAG, BMS-722782"
"45",1026,1240123,0.49055146,1,CCK81,TANESPIMYCIN,"17-AAG, BMS-722782"
"46",1026,910853,-3.83488316,1,CHL1,TANESPIMYCIN,"17-AAG, BMS-722782"
"47",1026,906820,-3.09669458,1,CHP212,TANESPIMYCIN,"17-AAG, BMS-722782"
"48",1026,905961,-3.24493598,1,COLO205,TANESPIMYCIN,"17-AAG, BMS-722782"
"49",1026,910689,-2.08149751,1,COLO678,TANESPIMYCIN,"17-AAG, BMS-722782"
"50",1026,906818,-2.13048735,1,COLO679,TANESPIMYCIN,"17-AAG, BMS-722782"
"51",1026,906815,1.32677583,1,COLO741,TANESPIMYCIN,"17-AAG, BMS-722782"
"52",,,,,CORL105,TANESPIMYCIN,
"53",1026,687780,-0.57805625,1,CORL23,TANESPIMYCIN,"17-AAG, BMS-722782"
"54",,,,,DAOY,TANESPIMYCIN,
"55",1026,906835,-0.87152455,1,DBTRG05MG,TANESPIMYCIN,"17-AAG, BMS-722782"
"56",1026,906836,-0.9703784,1,DEL,TANESPIMYCIN,"17-AAG, BMS-722782"
"57",1026,906837,-2.97623105,1,DETROIT562,TANESPIMYCIN,"17-AAG, BMS-722782"
"58",1026,906839,-1.11622029,1,DKMG,TANESPIMYCIN,"17-AAG, BMS-722782"
