"",DRUG_ID,COSMIC_ID,LN_IC50,MAX_CONC_MICROMOLAR,Cell_Line,Drug_Name,Synonyms
"1",1026,905947,-2.06292963,1,7860,TANESPIMYCIN,"17-AAG, BMS-722782"
"2",1026,905948,-2.08889761,1,A498,TANESPIMYCIN,"17-AAG, BMS-722782"
"3",1026,905949,-5.40632046,1,A549,TANESPIMYCIN,"17-AAG, BMS-722782"
"4",,,,,ACHN,TANESPIMYCIN,
"5",1026,905951,-1.85895303,1,BT549,TANESPIMYCIN,"17-AAG, BMS-722782"
"6",,,,,CAKI1,TANESPIMYCIN,
"7",1026,905952,0.3290449,1,CCRFCEM,TANESPIMYCIN,"17-AAG, BMS-722782"
"8",1026,905961,-3.24493598,1,COLO205,TANESPIMYCIN,"17-AAG, BMS-722782"
"9",1026,905935,0.75406092,1,DU145,TANESPIMYCIN,"17-AAG, BMS-722782"
"10",1026,905970,0.70520539,1,EKVX,TANESPIMYCIN,"17-AAG, BMS-722782"
"11",,,,,HCC2998,TANESPIMYCIN,
"12",1026,905936,-1.08062223,1,HCT116,TANESPIMYCIN,"17-AAG, BMS-722782"
"13",1026,905937,-1.22575121,1,HCT15,TANESPIMYCIN,"17-AAG, BMS-722782"
"14",1026,905938,-0.62039069,1,HL60,TANESPIMYCIN,"17-AAG, BMS-722782"
"15",1026,905972,-2.14348678,1,HOP62,TANESPIMYCIN,"17-AAG, BMS-722782"
"16",,,,,HOP92,TANESPIMYCIN,
"17",1026,905957,-2.50776296,1,HS578T,TANESPIMYCIN,"17-AAG, BMS-722782"
"18",1026,905939,-3.18029443,1,HT29,TANESPIMYCIN,"17-AAG, BMS-722782"
"19",1026,905968,-1.70150019,1,IGROV1,TANESPIMYCIN,"17-AAG, BMS-722782"
"20",1026,905940,-1.513549,1,K562,TANESPIMYCIN,"17-AAG, BMS-722782"
"21",1026,905989,-2.70627491,1,KM12,TANESPIMYCIN,"17-AAG, BMS-722782"
"22",1026,905974,-3.89843316,1,LOXIMVI,TANESPIMYCIN,"17-AAG, BMS-722782"
"23",,,,,M14,TANESPIMYCIN,
"24",,,,,MALME3M,TANESPIMYCIN,
"25",1026,905946,-3.18784069,1,MCF7,TANESPIMYCIN,"17-AAG, BMS-722782"
"26",1026,905960,2.33059204,1,MDAMB231,TANESPIMYCIN,"17-AAG, BMS-722782"
"27",,,,,MDAMB435,TANESPIMYCIN,
"28",1026,908123,1.8540176,1,MDAMB468,TANESPIMYCIN,"17-AAG, BMS-722782"
"29",1026,905958,0.5303814,1,MOLT4,TANESPIMYCIN,"17-AAG, BMS-722782"
"30",,,,,NCIADRRES,TANESPIMYCIN,
"31",1026,905941,0.28436975,1,NCIH226,TANESPIMYCIN,"17-AAG, BMS-722782"
