"",NSC,CONCUNIT,LCONC,PANEL,CELL,NLOGGI50
"1",2829,M,-4,Renal,7860,4
"2",2829,,,,A549,
"3",2829,M,-4,Renal,ACHN,4
"4",2829,,,,BT549,
"5",2829,M,-4,Colon,COLO205,4
"6",2829,M,-4,Prostate,DU145,4
"7",2829,M,-4,Colon,HCT116,4
"8",2829,M,-4,Colon,HCT15,5.372
"9",2829,M,-4,Breast,HS578T,4
"10",2829,M,-4,Colon,HT29,4
"11",2829,M,-4,Ovarian,IGROV1,4
"12",2829,M,-4,Melanoma,LOXIMVI,4
"13",2829,M,-4,Melanoma,MALME3M,4
"14",2829,M,-4,Breast,MCF7,4
"15",2829,,,,MDAMB468,
"16",2829,M,-4,Non-Small Cell Lung,NCIH226,4
"17",2829,M,-4,Non-Small Cell Lung,NCIH23,4
"18",2829,M,-4,Non-Small Cell Lung,NCIH460,4
"19",2829,M,-4,Non-Small Cell Lung,NCIH522,4
"20",2829,M,-4,Ovarian,OVCAR4,4
"21",2829,M,-4,Ovarian,OVCAR8,4
"22",2829,M,-4,Prostate,PC3,4
"23",2829,M,-4,Central Nervous System,SF295,4
"24",2829,M,-4,Melanoma,SKMEL2,4
"25",2829,M,-4,Melanoma,SKMEL5,4
"26",2829,,,,SKOV3,
"27",2829,M,-4,Colon,SW620,4
"28",2829,M,-4,Breast,T47D,4
"29",2829,M,-4,Melanoma,UACC257,4
"30",2829,,,,UACC62,
"31",132791,M,-4,Renal,7860,6.836
"32",132791,,,,A549,
"33",132791,M,-4,Renal,ACHN,6.534
"34",132791,M,-4,Breast,BT549,6.64
"35",132791,M,-4,Colon,COLO205,5.717
"36",132791,M,-3.3,Colon,COLO205,6.09
"37",132791,M,-4,Prostate,DU145,6.085
"38",132791,M,-4,Colon,HCT116,7.171
"39",132791,M,-3.3,Colon,HCT116,7.301
"40",132791,M,-4,Colon,HCT15,6.73
"41",132791,M,-3.3,Colon,HCT15,7.082
"42",132791,M,-4,Breast,HS578T,6.777
"43",132791,M,-4,Colon,HT29,6.622
"44",132791,M,-3.3,Colon,HT29,6.912
"45",132791,M,-4,Ovarian,IGROV1,7.133
"46",132791,M,-3.3,Ovarian,IGROV1,7.301
"47",132791,M,-4,Melanoma,LOXIMVI,7.451
"48",132791,M,-3.3,Melanoma,LOXIMVI,7.249
"49",132791,M,-4,Melanoma,MALME3M,7.472
"50",132791,M,-3.3,Melanoma,MALME3M,7.301
"51",132791,M,-4,Breast,MCF7,7.203
"52",132791,M,-3.3,Breast,MCF7,6.702
"53",132791,,,,MDAMB468,
"54",132791,M,-4,Non-Small Cell Lung,NCIH226,6.693
"55",132791,M,-3.3,Non-Small Cell Lung,NCIH226,6.965
"56",132791,M,-4,Non-Small Cell Lung,NCIH23,7.099
"57",132791,M,-3.3,Non-Small Cell Lung,NCIH23,7.301
"58",132791,M,-4,Non-Small Cell Lung,NCIH460,6.736
"59",132791,M,-3.3,Non-Small Cell Lung,NCIH460,7.048
"60",132791,M,-4,Non-Small Cell Lung,NCIH522,7.528
"61",132791,M,-3.3,Non-Small Cell Lung,NCIH522,7.301
"62",132791,M,-4,Ovarian,OVCAR4,6.494
"63",132791,M,-3.3,Ovarian,OVCAR4,6.951
"64",132791,M,-4,Ovarian,OVCAR8,6.785
"65",132791,M,-3.3,Ovarian,OVCAR8,7.165
"66",132791,M,-4,Prostate,PC3,6.339
"67",132791,M,-4,Central Nervous System,SF295,6.528
"68",132791,M,-3.3,Central Nervous System,SF295,6.937
"69",132791,M,-4,Melanoma,SKMEL2,7
"70",132791,M,-3.3,Melanoma,SKMEL2,7.204
"71",132791,M,-4,Melanoma,SKMEL5,7.355
"72",132791,M,-3.3,Melanoma,SKMEL5,7.301
"73",132791,M,-4,Ovarian,SKOV3,5.872
"74",132791,M,-3.3,Ovarian,SKOV3,5.993
"75",132791,M,-4,Colon,SW620,6.665
"76",132791,M,-3.3,Colon,SW620,7.173
"77",132791,M,-4,Breast,T47D,6.754
"78",132791,M,-4,Melanoma,UACC257,6.849
"79",132791,M,-3.3,Melanoma,UACC257,7.183
"80",132791,M,-4,Melanoma,UACC62,6.828
"81",132791,M,-3.3,Melanoma,UACC62,7.292
"82",226080,M,-8,Renal,7860,10.35
"83",226080,M,-7,Renal,7860,8.201
"84",226080,M,-6,Renal,7860,10
"85",226080,M,-4,Renal,7860,6.966
"86",226080,M,-3,Renal,7860,5.996
"87",226080,,,,A549,
"88",226080,M,-8,Renal,ACHN,10
"89",226080,M,-7,Renal,ACHN,8.103
"90",226080,M,-6,Renal,ACHN,6.603
"91",226080,M,-4,Renal,ACHN,7.29
"92",226080,M,-3,Renal,ACHN,5.405
"93",226080,M,-8,Breast,BT549,10.88
"94",226080,M,-7,Breast,BT549,8.978
"95",226080,M,-6,Breast,BT549,10
"96",226080,M,-4,Breast,BT549,8
"97",226080,M,-3,Breast,BT549,5.949
"98",226080,M,-8,Colon,COLO205,8
"99",226080,M,-7,Colon,COLO205,7
"100",226080,M,-6,Colon,COLO205,6
"101",226080,M,-4,Colon,COLO205,5.052
"102",226080,M,-3,Colon,COLO205,3.905
"103",226080,M,-8,Prostate,DU145,10.37
"104",226080,M,-7,Prostate,DU145,7.669
"105",226080,M,-6,Prostate,DU145,10
"106",226080,M,-4,Prostate,DU145,6.421
"107",226080,M,-3,Prostate,DU145,4.254
"108",226080,M,-8,Colon,HCT116,8
"109",226080,M,-7,Colon,HCT116,7
"110",226080,M,-6,Colon,HCT116,6
"111",226080,M,-4,Colon,HCT116,5.226
"112",226080,M,-3,Colon,HCT116,4.292
"113",226080,M,-8,Colon,HCT15,9.57
"114",226080,M,-7,Colon,HCT15,7.838
"115",226080,M,-6,Colon,HCT15,6
"116",226080,M,-4,Colon,HCT15,6.931
"117",226080,M,-3,Colon,HCT15,5.755
"118",226080,M,-8,Breast,HS578T,11.19
"119",226080,M,-7,Breast,HS578T,8.767
"120",226080,M,-6,Breast,HS578T,10
"121",226080,M,-4,Breast,HS578T,7.743
"122",226080,M,-3,Breast,HS578T,7
"123",226080,M,-8,Colon,HT29,8.951
"124",226080,M,-7,Colon,HT29,7.314
"125",226080,M,-6,Colon,HT29,6
"126",226080,M,-4,Colon,HT29,6.088
"127",226080,M,-3,Colon,HT29,5.169
"128",226080,M,-8,Ovarian,IGROV1,11.63
"129",226080,M,-7,Ovarian,IGROV1,9.4
"130",226080,M,-6,Ovarian,IGROV1,10
"131",226080,M,-4,Ovarian,IGROV1,8
"132",226080,M,-3,Ovarian,IGROV1,7
"133",226080,M,-8,Melanoma,LOXIMVI,11.13
"134",226080,M,-7,Melanoma,LOXIMVI,9.12
"135",226080,M,-6,Melanoma,LOXIMVI,10
"136",226080,M,-4,Melanoma,LOXIMVI,7.782
"137",226080,M,-3,Melanoma,LOXIMVI,6.655
"138",226080,M,-8,Melanoma,MALME3M,10.95
"139",226080,M,-7,Melanoma,MALME3M,9.729
"140",226080,M,-6,Melanoma,MALME3M,7.827
"141",226080,M,-4,Melanoma,MALME3M,7.657
"142",226080,M,-3,Melanoma,MALME3M,7
"143",226080,M,-8,Breast,MCF7,10.29
"144",226080,M,-7,Breast,MCF7,8.81
"145",226080,M,-6,Breast,MCF7,10
"146",226080,M,-4,Breast,MCF7,7.481
"147",226080,M,-3,Breast,MCF7,6.989
"148",226080,M,-8,Breast,MDAMB468,10.43
"149",226080,M,-7,Breast,MDAMB468,9.501
"150",226080,M,-4,Breast,MDAMB468,8
"151",226080,M,-8,Non-Small Cell Lung,NCIH226,8
"152",226080,M,-7,Non-Small Cell Lung,NCIH226,7.546
"153",226080,M,-6,Non-Small Cell Lung,NCIH226,10
"154",226080,M,-4,Non-Small Cell Lung,NCIH226,6.781
"155",226080,M,-3,Non-Small Cell Lung,NCIH226,5.456
"156",226080,M,-8,Non-Small Cell Lung,NCIH23,10.21
"157",226080,M,-7,Non-Small Cell Lung,NCIH23,8.734
"158",226080,M,-4,Non-Small Cell Lung,NCIH23,6.404
"159",226080,M,-3,Non-Small Cell Lung,NCIH23,4.896
"160",226080,M,-8,Non-Small Cell Lung,NCIH460,10.33
"161",226080,M,-7,Non-Small Cell Lung,NCIH460,8.472
"162",226080,M,-6,Non-Small Cell Lung,NCIH460,6
"163",226080,M,-4,Non-Small Cell Lung,NCIH460,6.74
"164",226080,M,-3,Non-Small Cell Lung,NCIH460,4.895
"165",226080,M,-8,Non-Small Cell Lung,NCIH522,10.55
"166",226080,M,-7,Non-Small Cell Lung,NCIH522,7.703
"167",226080,M,-6,Non-Small Cell Lung,NCIH522,6
"168",226080,M,-4,Non-Small Cell Lung,NCIH522,5.857
"169",226080,M,-3,Non-Small Cell Lung,NCIH522,4.596
"170",226080,M,-7,Ovarian,OVCAR4,8.538
"171",226080,M,-6,Ovarian,OVCAR4,10
"172",226080,M,-4,Ovarian,OVCAR4,8
"173",226080,M,-3,Ovarian,OVCAR4,7
"174",226080,M,-8,Ovarian,OVCAR8,8
"175",226080,M,-7,Ovarian,OVCAR8,8.412
"176",226080,M,-6,Ovarian,OVCAR8,10
"177",226080,M,-4,Ovarian,OVCAR8,7.332
"178",226080,M,-3,Ovarian,OVCAR8,7
"179",226080,M,-8,Prostate,PC3,11.07
"180",226080,M,-7,Prostate,PC3,8.51
"181",226080,M,-4,Prostate,PC3,7.707
"182",226080,M,-3,Prostate,PC3,7
"183",226080,M,-8,Central Nervous System,SF295,11.21
"184",226080,M,-7,Central Nervous System,SF295,9.748
"185",226080,M,-6,Central Nervous System,SF295,10
"186",226080,M,-4,Central Nervous System,SF295,7.472
"187",226080,M,-3,Central Nervous System,SF295,7
"188",226080,M,-8,Melanoma,SKMEL2,9.203
"189",226080,M,-7,Melanoma,SKMEL2,7.743
"190",226080,M,-4,Melanoma,SKMEL2,7.052
"191",226080,M,-3,Melanoma,SKMEL2,5.561
"192",226080,M,-8,Melanoma,SKMEL5,8
"193",226080,M,-7,Melanoma,SKMEL5,7.439
"194",226080,M,-4,Melanoma,SKMEL5,6.333
"195",226080,M,-3,Melanoma,SKMEL5,5.299
"196",226080,M,-8,Ovarian,SKOV3,10.48
"197",226080,M,-7,Ovarian,SKOV3,8.154
"198",226080,M,-6,Ovarian,SKOV3,10
"199",226080,M,-4,Ovarian,SKOV3,6.837
"200",226080,M,-3,Ovarian,SKOV3,6.064
"201",226080,M,-8,Colon,SW620,8
"202",226080,M,-7,Colon,SW620,7
"203",226080,M,-6,Colon,SW620,6
"204",226080,M,-4,Colon,SW620,5.648
"205",226080,M,-3,Colon,SW620,4.168
"206",226080,M,-8,Breast,T47D,10.93
"207",226080,M,-7,Breast,T47D,9.235
"208",226080,M,-6,Breast,T47D,10
"209",226080,M,-4,Breast,T47D,7.526
"210",226080,M,-3,Breast,T47D,7
"211",226080,M,-8,Melanoma,UACC257,8
"212",226080,M,-7,Melanoma,UACC257,7.305
"213",226080,M,-6,Melanoma,UACC257,6
"214",226080,M,-4,Melanoma,UACC257,5.343
"215",226080,M,-3,Melanoma,UACC257,3.535
"216",226080,M,-8,Melanoma,UACC62,9.453
"217",226080,M,-7,Melanoma,UACC62,7.491
"218",226080,M,-6,Melanoma,UACC62,10
"219",226080,M,-4,Melanoma,UACC62,7.512
"220",226080,M,-3,Melanoma,UACC62,6.257
"221",263500,M,-4,Renal,7860,4
"222",263500,,,,A549,
"223",263500,M,-4,Renal,ACHN,4.578
"224",263500,,,,BT549,
"225",263500,M,-4,Colon,COLO205,4.83
"226",263500,,,,DU145,
"227",263500,M,-4,Colon,HCT116,4.713
"228",263500,M,-4,Colon,HCT15,4.49
"229",263500,,,,HS578T,
"230",263500,M,-4,Colon,HT29,4.965
"231",263500,M,-4,Ovarian,IGROV1,4.744
"232",263500,M,-4,Melanoma,LOXIMVI,4.64
"233",263500,M,-4,Melanoma,MALME3M,6.576
"234",263500,,,,MCF7,
"235",263500,,,,MDAMB468,
"236",263500,M,-4,Non-Small Cell Lung,NCIH226,5.074
"237",263500,M,-4,Non-Small Cell Lung,NCIH23,4.914
"238",263500,M,-4,Non-Small Cell Lung,NCIH460,5.026
"239",263500,M,-4,Non-Small Cell Lung,NCIH522,4.726
"240",263500,M,-4,Ovarian,OVCAR4,5.811
"241",263500,M,-4,Ovarian,OVCAR8,4.523
"242",263500,,,,PC3,
"243",263500,M,-4,Central Nervous System,SF295,4.707
"244",263500,M,-4,Melanoma,SKMEL2,5.57
"245",263500,M,-4,Melanoma,SKMEL5,4.938
"246",263500,M,-4,Ovarian,SKOV3,4.607
"247",263500,M,-4,Colon,SW620,4.377
"248",263500,,,,T47D,
"249",263500,M,-4,Melanoma,UACC257,5.823
"250",263500,M,-4,Melanoma,UACC62,5.143
"251",403169,M,-4,Renal,7860,4.149
"252",403169,,,,A549,
"253",403169,M,-4,Renal,ACHN,4.344
"254",403169,,,,BT549,
"255",403169,M,-4,Colon,COLO205,4
"256",403169,,,,DU145,
"257",403169,M,-4,Colon,HCT116,4
"258",403169,M,-4,Colon,HCT15,4.344
"259",403169,,,,HS578T,
"260",403169,M,-4,Colon,HT29,4.245
"261",403169,M,-4,Ovarian,IGROV1,4.233
"262",403169,M,-4,Melanoma,LOXIMVI,4
"263",403169,M,-4,Melanoma,MALME3M,4
"264",403169,,,,MCF7,
"265",403169,,,,MDAMB468,
"266",403169,M,-4,Non-Small Cell Lung,NCIH226,4
"267",403169,M,-4,Non-Small Cell Lung,NCIH23,4.476
"268",403169,M,-4,Non-Small Cell Lung,NCIH460,4.361
"269",403169,M,-4,Non-Small Cell Lung,NCIH522,4.734
"270",403169,M,-4,Ovarian,OVCAR4,4
"271",403169,M,-4,Ovarian,OVCAR8,4
"272",403169,,,,PC3,
"273",403169,M,-4,Central Nervous System,SF295,4.491
"274",403169,M,-4,Melanoma,SKMEL2,4
"275",403169,M,-4,Melanoma,SKMEL5,4
"276",403169,M,-4,Ovarian,SKOV3,4
"277",403169,M,-4,Colon,SW620,4
"278",403169,,,,T47D,
"279",403169,M,-4,Melanoma,UACC257,4
"280",403169,M,-4,Melanoma,UACC62,4.017
"281",528986,M,-4,Renal,7860,4
"282",528986,,,,A549,
