"",NSC,CONCUNIT,LCONC,PANEL,CELL,NLOGGI50
"1",2829,M,-4,Renal,7860,4
"2",2829,,,,A498,
"3",2829,,,,A549,
"4",2829,M,-4,Renal,ACHN,4
"5",2829,,,,BT549,
"6",2829,M,-4,Renal,CAKI1,4
"7",2829,M,-4,Leukemia,CCRFCEM,4
"8",2829,M,-4,Colon,COLO205,4
"9",2829,M,-4,Prostate,DU145,4
"10",2829,M,-4,Non-Small Cell Lung,EKVX,4
"11",2829,M,-4,Colon,HCC2998,4
"12",2829,M,-4,Colon,HCT116,4
"13",2829,M,-4,Colon,HCT15,5.372
"14",2829,,,,HL60,
"15",2829,M,-4,Non-Small Cell Lung,HOP62,4
"16",2829,M,-4,Non-Small Cell Lung,HOP92,4
"17",2829,M,-4,Breast,HS578T,4
"18",2829,M,-4,Colon,HT29,4
"19",2829,M,-4,Ovarian,IGROV1,4
"20",2829,M,-4,Leukemia,K562,4
"21",2829,M,-4,Colon,KM12,4
"22",2829,M,-4,Melanoma,LOXIMVI,4
"23",2829,M,-4,Melanoma,M14,4
"24",2829,M,-4,Melanoma,MALME3M,4
"25",2829,M,-4,Breast,MCF7,4
"26",2829,,,,MDAMB231,
"27",2829,M,-4,Melanoma,MDAMB435,4
"28",2829,,,,MDAMB468,
"29",2829,M,-4,Leukemia,MOLT4,4
"30",2829,M,-4,Ovarian,NCIADRRES,4
"31",2829,M,-4,Non-Small Cell Lung,NCIH226,4
"32",2829,M,-4,Non-Small Cell Lung,NCIH23,4
"33",2829,M,-4,Non-Small Cell Lung,NCIH322M,4
"34",2829,M,-4,Non-Small Cell Lung,NCIH460,4
"35",2829,M,-4,Non-Small Cell Lung,NCIH522,4
"36",2829,M,-4,Ovarian,OVCAR3,4
"37",2829,M,-4,Ovarian,OVCAR4,4
"38",2829,M,-4,Ovarian,OVCAR5,4
"39",2829,M,-4,Ovarian,OVCAR8,4
"40",2829,M,-4,Prostate,PC3,4
"41",2829,M,-4,Leukemia,RPMI8226,4
"42",2829,,,,RXF393,
"43",2829,M,-4,Central Nervous System,SF268,4
"44",2829,M,-4,Central Nervous System,SF295,4
"45",2829,M,-4,Central Nervous System,SF539,4
"46",2829,M,-4,Melanoma,SKMEL2,4
"47",2829,M,-4,Melanoma,SKMEL28,4
"48",2829,M,-4,Melanoma,SKMEL5,4
"49",2829,,,,SKOV3,
"50",2829,M,-4,Renal,SN12C,5.301
"51",2829,M,-4,Central Nervous System,SNB19,4
"52",2829,M,-4,Central Nervous System,SNB75,4
"53",2829,M,-4,Leukemia,SR,4
"54",2829,M,-4,Colon,SW620,4
"55",2829,M,-4,Breast,T47D,4
"56",2829,M,-4,Renal,TK10,4
"57",2829,M,-4,Central Nervous System,U251,4
"58",2829,M,-4,Melanoma,UACC257,4
"59",2829,,,,UACC62,
"60",15360,M,-4,Renal,7860,4
"61",15360,M,-4,Renal,A498,4
"62",15360,,,,A549,
"63",15360,,,,ACHN,
"64",15360,,,,BT549,
"65",15360,M,-4,Renal,CAKI1,4
"66",15360,M,-4,Leukemia,CCRFCEM,4
"67",15360,M,-4,Colon,COLO205,4
"68",15360,,,,DU145,
"69",15360,M,-4,Non-Small Cell Lung,EKVX,4
"70",15360,M,-4,Colon,HCC2998,4
"71",15360,,,,HCT116,
"72",15360,M,-4,Colon,HCT15,4
"73",15360,,,,HL60,
"74",15360,M,-4,Non-Small Cell Lung,HOP62,4
"75",15360,,,,HOP92,
"76",15360,,,,HS578T,
"77",15360,M,-4,Colon,HT29,4
"78",15360,M,-4,Ovarian,IGROV1,4
"79",15360,M,-4,Leukemia,K562,4
"80",15360,M,-4,Colon,KM12,4
"81",15360,M,-4,Melanoma,LOXIMVI,4
"82",15360,M,-4,Melanoma,M14,4
"83",15360,M,-4,Melanoma,MALME3M,4
"84",15360,,,,MCF7,
"85",15360,,,,MDAMB231,
"86",15360,,,,MDAMB435,
"87",15360,,,,MDAMB468,
"88",15360,M,-4,Leukemia,MOLT4,4
"89",15360,,,,NCIADRRES,
"90",15360,M,-4,Non-Small Cell Lung,NCIH226,4
"91",15360,M,-4,Non-Small Cell Lung,NCIH23,4
"92",15360,M,-4,Non-Small Cell Lung,NCIH322M,4
"93",15360,M,-4,Non-Small Cell Lung,NCIH460,4
"94",15360,M,-4,Non-Small Cell Lung,NCIH522,4
"95",15360,M,-4,Ovarian,OVCAR3,4
"96",15360,,,,OVCAR4,
"97",15360,,,,OVCAR5,
"98",15360,M,-4,Ovarian,OVCAR8,4
"99",15360,,,,PC3,
"100",15360,M,-4,Leukemia,RPMI8226,4
"101",15360,M,-4,Renal,RXF393,4
"102",15360,M,-4,Central Nervous System,SF268,4
"103",15360,M,-4,Central Nervous System,SF295,4.066
"104",15360,M,-4,Central Nervous System,SF539,4
"105",15360,M,-4,Melanoma,SKMEL2,4
"106",15360,M,-4,Melanoma,SKMEL28,4
