"",ccle_gdsc_cells
"1",22RV1
"2",42MGBA
"3",5637
"4",639V
"5",697
"6",769P
"7",7860
"8",8305C
"9",8505C
"10",8MGBA
"11",A172
"12",A204
"13",A2058
"14",A253
"15",A2780
"16",A375
"17",A549
"18",A673
"19",ACHN
"20",ALLSIL
"21",AMO1
"22",AN3CA
"23",ASPC1
"24",AU565
"25",BCPAP
"26",BFTC909
"27",BL41
"28",BL70
"29",BT20
"30",BT474
"31",BT549
"32",BXPC3
"33",C2BBE1
"34",C32
"35",C3A
"36",CAL12T
"37",CAL27
"38",CAL78
"39",CAL851
"40",CALU3
"41",CALU6
"42",CAMA1
"43",CAPAN2
"44",CAS1
"45",CCK81
"46",CHL1
"47",CHP212
"48",COLO205
"49",COLO678
"50",COLO679
"51",COLO741
"52",CORL105
"53",CORL23
"54",DAOY
"55",DBTRG05MG
"56",DEL
"57",DETROIT562
"58",DKMG
"59",DMS114
"60",DOHH2
"61",DOV13
"62",DU145
"63",EB2
"64",EBC1
"65",EFM19
"66",EFO21
"67",EFO27
"68",EM2
"69",EN
"70",ES2
"71",ESS1
"72",FADU
"73",FU97
"74",FUOV1
"75",G361
"76",G401
"77",G402
"78",GAMG
"79",GB1
"80",GCIY
"81",GCT
"82",GI1
"83",GMS10
"84",GRANTA519
"85",H4
"86",HARA
"87",HCC1187
"88",HCC1395
"89",HCC15
"90",HCC1569
"91",HCC1806
"92",HCC1954
"93",HCC44
"94",HCC56
"95",HCC70
"96",HCC78
"97",HCC827
"98",HCT116
"99",HCT15
"100",HDMYZ
"101",HDQP1
"102",HGC27
"103",HH
"104",HLE
"105",HOS
"106",HPAC
"107",HPAFII
"108",HS578T
"109",HS683
"110",HS746T
"111",HS766T
"112",HS939T
"113",HSC2
"114",HT
"115",HT1080
"116",HT1197
"117",HT1376
"118",HT144
"119",HT29
"120",HUCCT1
"121",HUH1
"122",HUPT3
"123",HUPT4
"124",IALM
"125",IGR37
"126",IGROV1
"127",IM95
"128",IPC298
"129",ISTMES1
"130",J82
"131",JHH2
"132",JHH4
"133",JHH6
"134",JHH7
"135",JHOS2
"136",JHOS4
"137",JM1
"138",JURKAT
"139",JVM3
"140",KALS1
"141",KARPAS299
"142",KARPAS422
"143",KARPAS620
"144",KCL22
"145",KELLY
"146",KG1
"147",KLE
"148",KMRC1
"149",KMS11
"150",KMS12BM
"151",KNS42
"152",KNS62
"153",KO52
"154",KP1N
"155",KP2
"156",KP3
"157",KP4
"158",KU812
"159",KURAMOCHI
"160",KYM1
"161",KYSE140
"162",KYSE150
"163",KYSE180
"164",KYSE30
"165",KYSE410
"166",KYSE450
"167",KYSE510
"168",KYSE520
"169",KYSE70
"170",L363
"171",L428
"172",LCLC103H
"173",LN18
"174",LN229
"175",LOUNH91
"176",LOXIMVI
