"",NSC,Drug_Name
"1",1,1008ORANGE
"2",1,1011DELTAAMITRIPTYLINEHYDROCHLORIDE
"3",1,1011METHYLENEDIOXY20RSCAMPTOTHECIN
"4",1,1011METHYLENEDIOXY20RSCAMPTOTHECIN
"5",1,1011METHYLENEDIOXY20SCAMPTOTHECIN
"6",1,1011METHYLENEDIOXY20SCAMPTOTHECIN
"7",1,1013DIMETHYL1726METHYLTHIO9HPURIN9YLACETYL67891011121314151617DODECAHYDRO1HCYCLOPENTAAPHENANTHREN32HONE
"8",1,1013DIMETHYL172METHYL13THIAZOL4YL126789111214151617DODECAHYDROCYCLOPENTAAPHENANTHREN3ONE
"9",1,10140702
"10",1,101METHYL3PYRROLDIYLMETHYLPHENOTHIAZINEHYDROCHLORIDE
"11",1,101METHYL3PYRROLIDINYLMETHYLPHENOTHIAZINEHYDROCHLORIDE
"12",1,1021METHYL2PIPERIDYLETHYL2METHYLSULFINYLPHENOTHIAZINE
"13",1,1021METHYL2PIPERIDYLETHYL2METHYLSULFINYLPHENOTHIAZINE
"14",1,1021METHYL2PIPERIDYLETHYL2METHYLTHIOPHENOTHIAZINEHYDROCHLORIDE
"15",1,1024DICHLOROBENZYL5HYDROXY488TRIMETHYL78910TETRAHYDRO1HPYRIDO23BCARBAZOLE26DION
"16",1,1024DICHLOROPHENYL3METHYLFLAVIN
"17",1,1026DIOXABICYCLO2331NONACOSA57131928PENTAENE11UNDECANOICACID29HYDROXYGAMMAIOTA315172123HEPTAMETHOXYDELTATHETAKAPPA5121824HEPTAMETHYLEPSILON927TRIOXO29S
"18",17,102CARBAMOTHIOYLHYDRAZINYL10DEMETHOXYCOLCHICINEMONOHYDRATEX0667ETHYLACETATE
"19",26,102DIMETHYLAMINOPROPYLPHENOTHIAZINEHYDROCHLORIDE
"20",89,10312HYDROXYETHOXYETHYL4PIPERAZINYLPROPYL2TRIFLUOROMETHYLPHENOTHIAZINE2HCL
"21",89,10312HYDROXYETHOXYETHYL4PIPERAZINYLPROPYL2TRIFLUOROMETHYLPHENOTHIAZINEDIHYDROCHLORIDE
"22",89,1033710TETRAHYDRO14DIOXINO23GFURO34BQUINOLIN96HONE
"23",89,10342HYDROXYETHYL1PIPERAZINYLPROPYLPHENOTHIAZIN2YLMETHYLKETONEDIMALEATE
"24",89,10342HYDROXYETHYL1PIPERAZINYLPROPYLPHENOTHIAZIN2YLMETHYLKETONEMALEATE1:2SALT
"25",89,1034CYCLOPROPYL1PIPERAZINYLPROPYL2TRIFLUOROMETHYLPHENOTHIAZINEDIHYDROCHLORIDE
"26",112,1034METHYL1PIPERAZINYLPROPYL2TRIFLUOROMETHYLPHENOTHIAZINEDIHYDROCHLORIDE
"27",171,103DIMETHYLAMINOPROPYL2METHYLTHIOPHENOTHIAZINE
"28",171,103DIMETHYLAMINOPROPYL2TRIFLUOROMETHYLPHENOTHIAZINEHYDROCHLORIDE
"29",171,103DIMETHYLAMINOPROPYL2TRIFLUOROMETHYLPHENOTHIAZINEHYDROCHLORIDE
"30",171,103DIMETHYLAMINOPROPYL99DIMETHYLACRIDAN
"31",171,103DIMETHYLAMINOPROPYLPHENOTHIAZIN2YLMETHYLKETONEMALEATE1:1
"32",185,103QUINUCLIDINYLMETHYLPHENOTHIAZINE
"33",185,104CHLOROPHENYL34METHYLPIPERAZIN1YLPHENAZIN210HIMINE
"34",185,106UBIQUINOLYLDECYLTRIPHENYLPHOSPHONIUM
"35",185,109HACRIDINEPROPANAMINENN99TETRAMETHYL
"36",185,10ACETOXY618DIHYDROXY27DOLABELLADIENE
"37",185,10ALPHAHAMBROSA21113DIEN12OICACID16BETADIHYDROXY4OXOGAMMALACTONE
"38",185,10ALPHAHAMBROSA21113DIEN12OICACID6BETAHYDROXY4OXOGAMMALACTONE
"39",185,10AMINO7TRIMETHYLSILYLETHYLCAMPTOTHECIN
"40",185,10AMINOCAMPTOTHECIN
"41",185,10BENZOYL37BISDIMETHYLAMINOPHENOTHIAZINE
"42",185,10BENZOYL4AHYDROXY134TRIMETHYL4AH9H4B9DIAZAINDENO12AINDEN2ON
"43",185,10BETAHYDROXY17BETAACETOXYESTRA14DIEN3ONE
"44",185,10BETAHYDROXY1BETA2BETA4BETA5BETADIEPOXYESTRAN317ONE
"45",185,10BETAHYDROXYESTRA13DIEN317DIONE
"46",185,10BORNANESULFONANILIDE2OXO
"47",185,10CAMPHORSULFONANILIDE
"48",185,10DESACETYLBACCATINIII
"49",185,10DIIODOMETHYLENE910PHENANTHRENONE
"50",185,10EDAM
"51",185,10EPIANAMARINE
"52",185,10ETHYL10DEZAZAMINOPTERIN
"53",185,10FLUORO3HYDROXYISOINDOLO21AQUINOXALIN65HONE
"54",185,10H123TRIAZOLO15A14BENZODIAZEPINE
"55",185,10H12H13DIOXOLO45GPYRANO34:67INDOLIZINO12BQUINOLINE8117H10HDIONE7ETHYL7HYDROXY
"56",185,10H13DIOXOLO45GPYRANO34:67INDOLIZINO12BQUINOLINE8117H12HDIONE7ETHYL7HYDROXYS
"57",185,10H310AEPIDITHIOPYRAZINO12AINDOLE14DIONE235A6TETRAHYDRO6HYDROXY3HYDROXYMETHYL2METHYL3R3ALPHA5ABETA6BETA10AALPHA
"58",185,10H310AEPIDITHIOPYRAZINO12AINDOLE14DIONE235A6TETRAHYDRO6HYDROXY3HYDROXYMETHYL2METHYL3R5AS6S10AR
"59",185,10HBENZOBXANTHENE71012TRIONE611DIHYDROXY38DIMETHOXY1METHYL
"60",185,10HBENZOBXANTHENE71012TRIONE611DIHYDROXY38DIMETHOXY1METHYL
"61",185,10HDIPYRIDO34B
"62",185,10HENDECENOIC
"63",185,10HENDECENOICACID
"64",186,10HENEDECENOICACID
"65",186,10HEXADECENOICACID54DIEMTHYLAMINOTETRAHYDRO3HYDROXY6METHYL5TETRAHYDRO45DIHYDROXY46DIMETHYLPYRAN2YLOXYPYRAN2YLOXY1213EPOXY6FORMYLMETHYL315DIHYDROXY4METHOXY8METHYL9OXOOMEGALACTONEACETATEISOVALERATE
"66",186,10HEXADECENOICACID54DIEMTHYLAMINOTETRAHYDRO3HYDROXY6METHYL5TETRAHYDRO45DIHYDROXY46DIMETHYLPYRAN2YLOXYPYRAN2YLOXY1213EPOXY6FORMYLMETHYL315DIHYDROXY4METHOXY8METHYL9OXOOMEGALACTONEACETATEISOVALERATE
"67",186,10HPHENOTHIAZIN3OL8CHLORO103DIMETHYLAMINOPROPYL
"68",186,10HPHENOTHIAZINE101AZABICYCLO222OCT3YLMETHYL
"69",196,10HPHENOTHIAZINE101METHYL3PYRROLIDINYLMETHYLMONOHYDROCHLORIDE
"70",197,10HPHENOTHIAZINE101METHYL4PIPERIDINYLMETHYLMONOHYDROCHLORIDE
"71",291,10HPHENOTHIAZINE1021METHYL2PIPERIDINYLETHYL2METHYLSULFINYL
"72",291,10HPHENOTHIAZINE1021METHYL2PIPERIDINYLETHYL2METHYLTHIOMONOHYDROCHLORIDE
"73",291,10HPHENOTHIAZINE1034CYCLOPROPYL1PIPERAZINYLPROPYL2TRIFLUOROMETHYLDIHYDROCHLORIDE
"74",295,10HPHENOTHIAZINE1034METHYL1PIPERAZINYLPROPYL2TRIFLUOROMETHYLDIHYDROCHLORIDE
"75",295,10HPHENOTHIAZINE104CHLOROBUTYL134TRIFLUORO2NITRO
"76",295,10HPHENOTHIAZINE10ETHANAMINENNALPHATRIMETHYLMONOHYDROCHLORIDE
